slug;school_id;korpus_id;walk_min;walk_m
aurum-time;osm-305-shkola-390;osm-305-shkola-390-1;14;1029
aurum-time;osm-38-shkola-370-im;osm-38-shkola-370-im-1;16;1207
aurum-time;shkola-1797-bogorodskaya;shkola-1797-bogorodskaya-1;17;1261
aurum-time;shkola-1080;shkola-1080-1;18;1368
aurum-time;shkola-1360;shkola-1360-1;21;1548
aurum-time;osm-136-shkola-internat-5-preobrazhens;osm-136-shkola-internat-5-preobrazhens-1;22;1627
aurum-time;osm-437-shkola-363;osm-437-shkola-363-1;23;1694
aurum-time;osm-314-tsentr-obrazovaniya-1452-bogor;osm-314-tsentr-obrazovaniya-1452-bogor-1;27;2000
aurum-time;shkola-1505-preobrazhenskaya;shkola-1505-preobrazhenskaya-4;29;2203
aurus-rezidentsii;romanovskaya-shkola;romanovskaya-shkola-4;14;1024
aurus-rezidentsii;osm-545-shkola-340;osm-545-shkola-340-1;14;1025
aurus-rezidentsii;osm-612-shkola-2055;osm-612-shkola-2055-1;25;1849
aurus-rezidentsii;shkola-2048;shkola-2048-1;25;1853
aurus-rezidentsii;shkola-2030;shkola-2030-1;25;1873
ays-tauers;shkola-7;shkola-7-2;6;450
ays-tauers;osm-13-shkola-119;osm-13-shkola-119-1;6;485
ays-tauers;osm-44-litsey-moskvich;osm-44-litsey-moskvich-1;8;566
ays-tauers;osm-58-shkola-108;osm-58-shkola-108-1;12;888
ays-tauers;shkola-1514;shkola-1514-5;12;927
ays-tauers;shkola-118;shkola-118-2;16;1186
ays-tauers;shkola-117;shkola-117-2;20;1466
ays-tauers;osm-484-shkola-1264;osm-484-shkola-1264-1;20;1501
ays-tauers;osm-232-tsentr-obrazovaniya-1311-thiya;osm-232-tsentr-obrazovaniya-1311-thiya-1;21;1549
ays-tauers;shkola-1541;shkola-1541-2;21;1573
ays-tauers;osm-231-shkola-internat-62;osm-231-shkola-internat-62-2;21;1609
ays-tauers;osm-485-shkola-1361;osm-485-shkola-1361-1;23;1735
