slug;name;name_short;dev_id;developer;class;class_zayavlen;class_why;class_declared;class_disputed;okrug;district;address;lat;lon;geo_precision;type;units_total;units_per_floor;floors;ceilings_m;parking;stage;deadline_initial;deadline;price_from_m2;price_median_m2;price_check;penthouses;penthouse_flag;architect;facade;energy_class;escrow;maintenance_rub_m2;website;sources;updated;p01;p02;p03;p04;p05;p06;p07;p08;p09;pasport;pasport_why;school_min;school_name;nota_school_min;nota_school_name;nota_15;marked_min;marked_name;marked_20;lots;lot_min_m2;lot_min_price;lots_median_m2;lots_date;has_foto;rynok
mainstreet;MainStreet (МэйнСтрит);MainStreet;gk-osnova;ГК Основа;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЗАО;Фили-Давыдково;ул. Ивана Франко, вл. 4, 6;55.72834;37.451027;каталог (контур дома, novostroev);апартаменты;562;;29;3.00;233;сдан, есть остатки;;сдан (III кв. 2022);236600;;;;;;;;;;;"https://novostroev.ru/novostroyki/moskva/zao/fili-davydkovo/mainstreet-meynstrit/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-zapadnyj-okrug-183313/zhk-biznes/ добор 04/05: этажность, квартиры, машиноместа — наш.дом.рф, объекты ЕИСЖС (34180) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/zao/fili-davydkovo/mainstreet-meynstrit/ 24.09.2026";23.09.2026;да;нет;да;да;нет;да;да;нет;да;Без отметки;красная линия: юридика;10;Навигацкая школа;15;Школа № 887;1;27;Ломоносовская школа;0;3;123.3;38118195;;23.09.2026;да;первичка и вторичка
om;ОМ;ОМ;transstroyinvest;Трансстройинвест;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЗАО;Очаково-Матвеевское;Мичуринский пр-т, 70;55.682094;37.465772;каталог;квартиры;310;;29;;175;сдан, есть остатки;;сдан (2025);530069;;;;;;;;;;;https://mskguru.ru/novostroyki/4900-zhk-om https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-zapadnyj-okrug-183313/zhk-biznes/ https://www.cian.ru/novostroyki-biznes-klassa-moskva-ochakovo-matveevskoe-04118/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (47114) 24.09.2026;23.09.2026;да;да;нет;да;нет;нет;да;не применяется;да;Присмотреться;минусы: повседневность, машина, застройщик;18;Школа № 1329;18;Школа № 1329;0;18;Школа № 1329;1;5;43.5;23607000;;23.09.2026;да;первичка и вторичка
full-house;Full House;Full House;sezar-group;Sezar Group;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЗАО;Тропарёво-Никулино;пр-т Вернадского;55.665928;37.483037;каталог (контур дома, novostroev);квартиры;362;5;28;3.09;208;сдан, есть остатки;;сдан;520000;;;;;;;;;;;"https://novostroev.ru/novostroyki/moskva/zao/troparyevo-nikulino/full-house/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-zapadnyj-okrug-183313/zhk-biznes/ https://mskguru.ru/rayon/zao?page=2 добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (45604) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/zao/troparyevo-nikulino/full-house/ 24.09.2026";23.09.2026;да;да;да;да;нет;да;да;не применяется;да;Отметка;минусы: машина;11;Школа № 875;11;Школа № 875;1;16;Школа № 1329;2;;79.9;41500000;;23.09.2026;да;первичка и вторичка
kutuzov-grad;Кутузов Град (КутузовGRAD);Кутузов Град;ingrad;Инград;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЗАО;Можайский;ул. Петра Алексеева, 12;55.717064;37.429877;каталог (контур дома, novostroev);квартиры;2152;10;30;2.87;1233;сдан, есть остатки;;сдан;285100;;;;;;;;;;;"https://novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/kutuzovgrad/ https://mskguru.ru/novostroyki/1273-zhk-kutuzovgrad добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (50147) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/kutuzovgrad/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;нет данных;да;не применяется;да;Присмотреться;минусы: повседневность, плотность, машина;11;Школа № 1195 им. П.И. Меренкова;11;Школа № 1195 им. П.И. Меренкова;3;12;Ломоносовская школа;2;;56.7;27400000;;23.09.2026;да;первичка и вторичка
west-tower;West Tower (Вест Тауэр);West Tower;gk-tashir;ГК Ташир;бизнес;бизнес;;бизнес;;ЗАО;Очаково-Матвеевское;Аминьевское ш., 6;55.707918;37.457288;каталог (контур дома, novostroev);апартаменты;277;;21;3.30;738;сдан, есть остатки;;сдан;417879;;;;;;;;;;https://tashir-estate.ru/projects/westtower;"https://novostroev.ru/novostroyki/moskva/zao/ochakovo-matveevskoe/west-tower/ https://mskguru.ru/novostroyki/4872-apartamentyy-west-tower https://tashir-estate.ru/projects/westtower добор 04/05: квартиры, машиноместа — https://novostroev.ru/novostroyki/moskva/zao/ochakovo-matveevskoe/west-tower/ 24.09.2026; этажность, потолки — https://novostroev.ru/novostroyki/moskva/zao/ochakovo-matveevskoe/west-tower/ (24.09.2026)";23.09.2026;да;да;да;да;да;нет;да;нет;да;Без отметки;красная линия: юридика;10;Школа № 97;10;Школа № 97;3;11;Ломоносовская школа;2;;48.1;20100000;;23.09.2026;да;первичка и вторичка
astris;Astris (Косыгина, 21);Astris;pao-ie-zhkkh;ПАО ИЭ ЖКХ;элитный;элитный;минус к классу: адрес;премиум (novostroev) / элит (mskguru);;ЗАО;Раменки;ул. Косыгина, 21;55.705067;37.548816;каталог (контур дома, novostroev);квартиры;38;;6;3.60;;сдан, есть остатки;;сдан;772100;;;;;;;;;;https://astris.moscow/;"https://novostroev.ru/novostroyki/moskva/zao/ramenki/kosygina-21/ https://novostroev.ru/novostroyki/moskva/zao/biznes-class/ добор 04/05: квартиры — https://novostroev.ru/novostroyki/moskva/zao/ramenki/kosygina-21/ 24.09.2026; этажность, потолки — https://novostroev.ru/novostroyki/moskva/zao/ramenki/kosygina-21/ (24.09.2026)";23.09.2026;нет;нет;нет;да;нет данных;нет данных;да;не применяется;да;Без отметки;красная линия: окружение;11;Лицей «Воробьёвы горы»;11;Лицей «Воробьёвы горы»;1;11;Лицей «Воробьёвы горы»;3;;;;;23.09.2026;да;первичка и вторичка
hide;Hide (Хайд);Hide;mr-group;MR Group;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг;бизнес / премиум;да;ЗАО;Раменки;1-й Сетуньский пр-д, 6-10;55.733168;37.539572;каталог;квартиры;1703;;43;3.25;703;сдан, есть остатки;;сдан;506200;;;;;;;;;;https://d-a.ru/projects/residential/hide/;"https://mskguru.ru/novostroyki/4534-zhk-hide https://www.metrium.ru/novostroyki/novostroyki-moskvy/biznes-klassa/ https://d-a.ru/projects/residential/hide/ https://www.novostroy-m.ru/baza/jk_na_1om_setunskom https://anwin.ru/project/premium?page=4 https://kvadroom.ru/novostroyki/premium?page=5 https://novostroev.ru/novostroyki/moskva/zao/ramenki/hide/ https://novostroev.ru/novostroyki/moskva/zao/ramenki/hide/flats/?order=price_asc https://novostroev.ru/flats/moskva/zao/ramenki/f94341/ https://novostroev.ru/flats/moskva/zao/ramenki/f94279/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (37004) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/zao/ramenki/hide/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;нет данных;да;не применяется;да;Присмотреться;минусы: повседневность, плотность, машина;9;Школа № 12;25;Школа № 67;0;;;0;82;32.2;19562030;;23.09.2026;да;первичка и вторичка
legasi;Легаси (Legacy);Легаси;gk-tashir;ГК Ташир;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, паркинг;элит / премиум;да;ЗАО;Раменки;Мичуринский пр-т, 30Б;55.700916;37.499348;каталог;квартиры;478;;18;;252;строится;;III кв. 2026;625000;;;;;;;;;;https://legacydom.ru/;https://mskguru.ru/novostroyki/4478-zhk-legacy https://mskguru.ru/rayon/zao https://zhk-legacy-i.cian.ru/ https://novostroev.ru/novostroyki/moskva/premium-klassa-v-moskve/?page=2 https://tashir-estate.ru/projects/legacy/filter https://legacydom.ru/api/flat/?limit=500 https://tashir-estate.ru/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (43199) 24.09.2026;23.09.2026;да;да;да;да;нет;нет данных;нет;да;да;Отметка;минусы: машина, сроки дома;5;Школа №37;10;Школа № 1306 — «Школа молодых политиков»;4;;;0;31;53.1;37128688;;23.09.2026;да;первичка
v12;V12;V12;sezar-group;Sezar Group;бизнес;бизнес;;бизнес;;ЗАО;Раменки;пр-т Вернадского, 12Б;55.688499;37.5073;каталог (контур дома, novostroev);апартаменты;;;16;3.00;224;анонс;;IV кв. 2026;;;;;;;;;;;https://www.v12-sezar.ru/;"https://novostroev.ru/novostroyki/moskva/zao/ramenki/v12/ https://mskguru.ru/novostroyki/5037-apartamentyy-v12 добор 04/05: машиноместа — https://novostroev.ru/novostroyki/moskva/zao/ramenki/v12/ 24.09.2026; этажность (15–16), потолки (3–5,71) — https://novostroev.ru/novostroyki/moskva/zao/ramenki/v12/ (24.09.2026)";23.09.2026;да;да;нет;нет данных;нет данных;да;нет данных;нет данных;нет данных;Отметка;минусы: повседневность;11;Школа № 1498 «Московская международная школа»;11;Школа № 1498 «Московская международная школа»;2;;;0;;;;;;да;анонс
tolbukhina-3;Толбухина, 3;Толбухина, 3;st-michael;St Michael;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЗАО;Можайский;ул. Толбухина, 3;55.718105;37.399088;адрес (OSM);апартаменты;388;;15;;120;старт продаж;;I кв. 2031;;;;;;;;;;;;"https://novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/tolbukhina-3/ https://novostroev.ru/novostroyki/moskva/zao/biznes-class/?page=2 добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (71446) 24.09.2026; квартиры, машиноместа — https://novostroev.ru/novostroyki/moskva/zao/mozhayskiy-rayon/tolbukhina-3/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет данных;да;нет;нет данных;Отметка;минусы: машина, юридика;4;Школа №800;14;Школа № 1400;2;23;Ломоносовская школа;0;;;;;;да;первичка
moskvoreche;Москворечье;Москворечье;pik;ПИК;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес (novostroev ПИК+, mskguru, Яндекс);;ЮАО;Москворечье-Сабурово;ул. Котляковская, 7/4;55.645965;37.640812;каталог;квартиры;2248;11;40;2.66;240;строится;;IV кв. 2027 - IV кв. 2028;490500;;;;;;;;;;https://www.pik.ru/moskvorechye;"https://novostroycity.ru/novostroiki/moskvoreche-saburovo/zhk-moskvoreche https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-yuzhnyj-okrug-596686/zhk-biznes/ https://novostroev.ru/novostroyki/moskva/uao/biznes-class/ https://www.cian.ru/zhiloy-kompleks-moskvoreche-moskva-4958260/ https://www.cian.ru/cat.php?deal_type=sale&engine_version=2&offer_type=flat&from_developer=1&newobject%5B0%5D=4958260&sort=price_object_order https://novostroev.ru/novostroyki/moskva/uao/moskvoreche-saburovo/moskvoreche/ https://www.cian.ru/sale/flat/325979370/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (68426 +1) 24.09.2026; квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/moskvoreche-saburovo/moskvoreche/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;да;да;Присмотреться;минусы: повседневность, плотность, машина;12;Лицей № 1511;12;Школа № 1579;1;;;0;177;19.1;14386120;;23.09.2026;да;первичка
kavkazskiy-bulvar-51;Кавказский бульвар 51;Кавказский бульвар 51;pik;ПИК;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес (Яндекс, mskguru);;ЮАО;Царицыно;Кавказский б-р, 51;55.628098;37.64178;каталог;квартиры;3270;14;34;2.62;400;строится, есть сданные;;I-II кв. 2028;409200;;;;;;;;;;;"https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/kavkazskij-bulvar-51-2776191/ https://mskguru.ru/novostroyki/4850-zhk-kavkazskijj-bulyvar-51 https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-yuzhnyj-okrug-596686/zhk-biznes/ https://www.cian.ru/zhiloy-kompleks-kavkazskiy-bulvar-51-moskva-3804713/ https://www.cian.ru/cat.php?deal_type=sale&engine_version=2&offer_type=flat&from_developer=1&newobject%5B0%5D=3804713&sort=price_object_order https://novostroev.ru/novostroyki/moskva/uao/tsaritsyno/kavkazskiy-bulvar-51/ https://www.cian.ru/sale/flat/321483071/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (63949 +3) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/tsaritsyno/kavkazskiy-bulvar-51/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет;да;да;да;да;Без отметки;минусы: окружение, повседневность, плотность, машина;20;Школа № 904;20;Школа № 904;0;;;0;188;29.6;14868080;;23.09.2026;да;первичка и вторичка
veyv;Вейв (Wave);Вейв;gruppa-lsr;Группа ЛСР;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЮАО;Москворечье-Сабурово;ул. Борисовские пруды, 1;55.637076;37.706409;каталог (контур дома, novostroev);квартиры;1482;;54;;408;строится, есть сданные;;IV кв. 2026;406570;;цены со скидкой застройщика (без скидки — выше);;;;;;;;https://www.lsr.ru/msk/zhilye-kompleksy/wave/;https://pronovostroy.ru/zhk-wave-n434082987/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-yuzhnyj-okrug-596686/zhk-biznes/ https://mskguru.ru/rayon/juao https://www.lsr.ru/msk/kvartiry-v-novostroikah/wave/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (56623 +1) 24.09.2026;23.09.2026;да;да;нет;нет;нет;да;да;да;да;Присмотреться;минусы: повседневность, плотность, машина;12;Школа № 2017;16;Школа «Наследник»;0;;;0;295;21.5;16601608;;23.09.2026;;первичка и вторичка
parksayd;Парксайд (Parkside);Парксайд;gruppa-lsr;Группа ЛСР;бизнес;бизнес;минус к классу: плотность, паркинг, потолки;бизнес;;ЮАО;Чертаново Центральное;ул. Красного Маяка, вл. 26;55.60744;37.576295;каталог (контур дома, novostroev);квартиры;1782;20;24;2.70;328;сдан, есть остатки;;сдан;402100;;цены со скидкой застройщика (без скидки — выше);;;;;;;;https://www.lsr.ru/msk/zhilye-kompleksy/parkside/;"https://novostroev.ru/novostroyki/moskva/uao/chertanovo-tsentralnoe/parkside-parksayd/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-yuzhnyj-okrug-596686/zhk-biznes/ https://www.lsr.ru/msk/kvartiry-v-novostroikah/parkside/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (46292) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/chertanovo-tsentralnoe/parkside-parksayd/ 24.09.2026";23.09.2026;да;да;нет;нет;нет;да;да;не применяется;да;Присмотреться;минусы: повседневность, плотность, машина;9;Школа №652;23;Школа № 1245;0;;;0;50;20.1;15642423;;23.09.2026;да;первичка и вторичка
dom-na-dzhalilya;Дом на Джалиля;Дом на Джалиля;a101;А101 (СЗ МИКС);бизнес;бизнес;;бизнес;;ЮАО;Зябликово;ул. Мусы Джалиля, вл. 6, корп. 2;55.628028;37.740956;каталог (контур дома, novostroev);квартиры;282;7;28;3.10;298;старт продаж;;II кв. 2029;400207;;;;;;;;;;https://a101.ru/promo/start-prodazh-novogo-proekta-biznes-klassa-dom-na-dzhalilya-v-bolshoj-moskve/;"https://novostroev.ru/novostroyki/moskva/uao/zyablikovo/musy-dzhalilya-6-2/ https://a101.ru/promo/start-prodazh-novogo-proekta-biznes-klassa-dom-na-dzhalilya-v-bolshoj-moskve/ https://www.tbank.ru/invest/social/profile/A101_Official/c3452535-aaa9-4e82-91a0-242b3f7ad67a/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (71828) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/zyablikovo/musy-dzhalilya-6-2/ 24.09.2026";23.09.2026;да;да;да;да;да;да;да;да;да;Отметка;;3;Школа №534 корпус 2;8;Школа № 1552;3;;;0;;31.6;18600000;;23.09.2026;да;первичка
varshavskie-vorota;Варшавские ворота (МФК);Варшавские ворота;rg-development;РГ-Девелопмент;бизнес;бизнес;минус к классу: паркинг, потолки;бизнес (novostroev, Яндекс) / комфорт (mskguru);;ЮАО;Чертаново Южное;Варшавское ш., вл. 141;55.586375;37.600371;каталог (контур дома, novostroev);апартаменты;639;6;31;2.70;228;строится;;II кв. 2026;378482;;;;;;;;;;https://varshavskievorota.ru/;"https://novostroev.ru/novostroyki/moskva/uao/chertanovo-yuzhnoe/varshavskie-vorota/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-yuzhnyj-okrug-596686/zhk-biznes/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (48808) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/chertanovo-yuzhnoe/varshavskie-vorota/ 24.09.2026";23.09.2026;да;нет;да;да;нет;да;да;нет;да;Без отметки;красная линия: юридика;10;Лицей № 504;11;Школа № 629;2;;;0;;27.6;15300000;;23.09.2026;да;первичка
kvartal-foriver;Квартал Foriver;Квартал Foriver;sminex;Sminex;бизнес;бизнес;минус к классу: плотность;бизнес (Sminex, Яндекс) / премиум (novostroev);;ЮАО;Даниловский;ул. Эдуарда Стрельцова, 2к1 (Симоновская наб.);55.717297;37.65117;каталог;квартиры;1491;;22;;;сдан, есть остатки;;сдан (ключи с 09.2024);522115;;;;;;;;;;https://www.sminex.com/foriver;https://www.sminex.com/foriver https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/foriver-2305022/ https://www.cian.ru/novostroyki-biznes-klassa-moskva-danilovskiy-0487/ https://www.sminex.com/podbor-nedvizhimosti добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (36237 +1) 24.09.2026;23.09.2026;да;да;нет;нет;нет данных;да;да;не применяется;да;Отметка;минусы: повседневность, плотность;20;Школа № 463 им;23;Школа № 1272;0;;;0;54;46.3;32150000;;23.09.2026;да;первичка и вторичка
danilovskiy-ot-granel;Даниловский от Гранель (бывш. А22);Даниловский от Гранель;gk-granel;ГК Гранель;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЮАО;Даниловский;ул. Автозаводская;55.705303;37.635044;каталог;квартиры;907;;45;;276;старт продаж;;I кв. 2030;563385;;;;;;;;;;https://granelle.ru/objects/danilovskij-ot-granel/;https://granelle.ru/objects/danilovskij-ot-granel/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/danilovskij-ot-granel-4103519/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/dist-yuzhnyj-okrug-596686/zhk-biznes/?page=2 https://realty.ria.ru/20260908/granel-2116273707.html https://a22.moscow/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (64921) 24.09.2026;23.09.2026;да;нет;да;нет;нет;да;нет;да;да;Без отметки;минусы: окружение, плотность, машина, сроки дома;14;Школа № 548 «Царицыно»;21;Школа № 547;0;;;0;58;28.7;18591975;;23.09.2026;да;первичка
1-y-nagatinskiy;1-й Нагатинский (Первый Нагатинский);1-й Нагатинский;prime-life-development;Prime Life Development;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум (pronovostroy) / элит (mskguru) / премиум/бизнес (спорно);да;ЮАО;Нагатино-Садовники;ул. Нагатинская, 1;55.682502;37.626938;каталог (контур дома, novostroev);квартиры;860;;51;2.95;268;строится, есть сданные;;II кв. 2029;611793;;;;;;;;;;;"https://pronovostroy.ru/zhk-1-y-nagatinskiy-n434625487/ https://mskguru.ru/novostroyki/4896-zhk-1jj-nagatinskijj https://www.metrium.ru/novostroyki/novostroyki-moskvy/biznes-klassa/ https://zhk-1-y-nagatinskiy-i.cian.ru/ https://novostroev.ru/novostroyki/moskva/uao/nagatino-sadovniki/1-y-nagatinskiy/ https://anwin.ru/project/premium?page=12 https://www.novostroy-m.ru/baza/kompleks_apartamentov_na_1m добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (68144 +1) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/uao/nagatino-sadovniki/1-y-nagatinskiy/ 24.09.2026";23.09.2026;да;нет;да;нет;нет;нет данных;да;да;да;Присмотреться;минусы: окружение, плотность, машина;14;Школа № 507;14;Школа № 507;1;;;0;87;75.1;46896741;;23.09.2026;да;первичка и вторичка
opus;OPUS (Опус);OPUS;gk-pioner;ГК Пионер;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — адрес, плотность, паркинг;"премиум/делюкс (pronovostroy) / элит (mskguru) / элитный (Метриум); делюкс (ЦИАН)";да;ЮАО;Даниловский;ул. Дербеневская, 1 (Дербеневская наб., 5);55.725081;37.654795;каталог (контур дома, novostroev);квартиры;188;7;12;3.50;301;строится;;IV кв. 2025;788914;;;;;;;;;;https://opus-home.ru/;"https://pronovostroy.ru/zhk-opus-n434678513/ https://mskguru.ru/rayon/juao https://www.mirkvartir.ru/journal/news/2026/07/23/luxury-novostroiki/ https://www.novostroy-m.ru/baza/jk_derbenevskaya_1 https://www.cian.ru/novostroyki-elitnye/ https://www.mirkvartir.ru/journal/news/2026/02/03/elite-klass/ https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/opus-opus/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (48243) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/danilovskiy/opus-opus/ 24.09.2026";23.09.2026;да;да;нет;нет;да;да;нет;да;да;Без отметки;минусы: повседневность, плотность, сроки дома;12;Школа № 1553 им. В.И. Вернадского;12;Школа № 1553 им. В.И. Вернадского;1;;;0;23;55.8;45300000;;23.09.2026;да;первичка
stone-blik;Stone Blik (Стоун Блик);Stone Blik;stone;STONE;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — адрес, плотность, паркинг, потолки;премиум;да;ЮАО;Донской;Новоданиловская наб., вл. 12;55.694634;37.625106;каталог (контур дома, novostroev);квартиры;763;10;53;3.08;363;старт продаж;;III кв. 2030;722205;;;;;;;;;;https://stone.ru/residential/blik;"https://novostroev.ru/novostroyki/moskva/uao/donskoy/stone-blik/ https://novostroev.ru/novostroyki/moskva/uao/start-prodazh/ https://stone.ru/residential/blik https://whitewill.ru/developments/stoun-blik https://www.mirkvartir.ru/journal/news/2026/04/10/premium-segment/ https://www.novostroy-m.ru/analitika/starty_prodaj_iyul26_moskva https://www.novostroy-m.ru/analitika/starty_prodaj_iyul26_moskva https://www.novostroy-m.ru/baza/jk_stone_blik добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (72816) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/uao/donskoy/stone-blik/ 24.09.2026";23.09.2026;да;да;нет;да;нет;нет данных;да;да;да;Отметка;минусы: повседневность, машина;7;Международный инновационный образовательный центр;13;Школа № 630 им. Г.П. Кравченко;1;;;0;;33;23800000;;23.09.2026;да;первичка
shabolovka-34;Шаболовка, 34;Шаболовка, 34;gruppa-lsr;Группа ЛСР;бизнес;бизнес;;бизнес;;ЮАО;Донской;ул. Шаболовка, 34;55.718699;37.607237;адрес (OSM);квартиры;644;;50;;;анонс;;;;;;;;;;;;;;"https://novostroev.ru/novostroyki/moskva/uao/donskoy/shabolovka-34/ https://mskpremium.ru/premier добор 04/05: квартиры — https://novostroev.ru/novostroyki/moskva/uao/donskoy/shabolovka-34/ 24.09.2026; этажность (17–50) — https://novostroev.ru/novostroyki/moskva/uao/donskoy/shabolovka-34/ (24.09.2026)";23.09.2026;да;нет;да;да;нет данных;да;нет данных;нет данных;нет данных;Отметка;минусы: окружение;6;Лицей «Воробьёвы горы»;6;Лицей «Воробьёвы горы»;7;6;Лицей «Воробьёвы горы»;2;;;;;;да;анонс
ever;Ever (Эвер);Ever;tekta-group;TEKTA GROUP;бизнес;бизнес;минус к классу: плотность;бизнес;;ЮЗАО;Обручевский;ул. Обручева, 23;55.659422;37.5313;каталог (контур дома, novostroev);квартиры;1106;;37;3.50;;сдан, есть остатки;;сдан (к.1-3 IV кв. 2023, к.4-6 III кв. 2025);584800;;;;;;;;;;https://tekta.ru/projects/ever;"https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/ever/ https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/ao-yugo-zapadnyj/zhk-biznes/ https://realty.vbr.ru/moskva/novostroyki/biznes/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (39040) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/ever/ 24.09.2026";23.09.2026;да;нет;да;нет;нет данных;да;да;не применяется;да;Отметка;минусы: окружение, плотность;7;Школа №1100;13;Школа № 1514;1;13;Школа № 1514;1;28;43.7;28600000;;23.09.2026;да;первичка и вторичка
veri-na-miklukho-maklaya;ВЭРИ на Миклухо-Маклая (VERY);ВЭРИ на Миклухо-Маклая;gk-osnova;ГК Основа;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЮЗАО;Обручевский;ул. Миклухо-Маклая, 23;55.650608;37.511868;каталог;квартиры;442;;19;3.40;250;сдан, есть остатки;;сдан;630000;;;;;;;;;;;"https://realty.yandex.ru/moskva_i_moskovskaya_oblast/kupit/novostrojka/ao-yugo-zapadnyj/zhk-biznes/ https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/very-na-miklukho-maklaya/ https://www.cian.ru/cat.php?deal_type=sale&engine_version=2&offer_type=flat&from_developer=1&newobject%5B0%5D=4502847&sort=price_object_order https://realty.yandex.ru/moskva/kupit/novostrojka/x-3656051/ https://www.cian.ru/sale/flat/327410099/ https://www.cian.ru/sale/flat/327948966/ добор 04/05: машиноместа — https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/very-na-miklukho-maklaya/ 24.09.2026; этажность, потолки (3,4–5,5) — https://novostroev.ru/novostroyki/moskva/uzao/obruchevskiy/very-na-miklukho-maklaya/ (24.09.2026)";23.09.2026;да;да;да;да;нет;да;да;не применяется;да;Отметка;минусы: машина;9;Школа № 170 им. А.П. Чехова;9;Школа № 170 им. А.П. Чехова;1;27;Школа № 1514;0;108;23.3;18407000;;23.09.2026;да;первичка и вторичка
