slug;name;developer;class;district;address;has_img
obrucheva-30;Обручева 30;Группа ЛСР;бизнес;Коньково;ул. Обручева, 30;
nametkin-tauer;Наметкин Тауэр;ГК Основа;бизнес;Черёмушки;ул. Наметкина, 10с6;
novye-akademiki;Новые Академики;Главстрой Москва;элитный;Котловка;ул. Кржижановского, 31;
level-akademicheskaya;Level Академическая;Level Group;премиум;Академический;ул. Профсоюзная, 2/22;
stoun-sokolniki;СТОУН Сокольники (STONE Sokolniki);Stone;бизнес;Сокольники;ул. Гастелло;
solos;Солос (Solos);Dar Development;бизнес;Сокольники;ул. Сокольнический Вал, вл. 2А;
kod-sokolniki;КОД Сокольники;СЗ Сокольники (Новая эра);бизнес;Сокольники;ул. Шумкина;
evopark-sokolniki;ЭВОПАРК Сокольники (EVOPARK);ГК Основа;бизнес;Преображенское;Потешная ул.;
preobrazhenskaya-ploschad;Преображенская площадь;Regions Development;элитный;Преображенское;1-я ул. Бухвостова, 12/11;
zikkurat-preobrazhenskiy;Зиккурат Преображенский;Ziggurat Development;бизнес;Преображенское;ул. Большая Черкизовская, 4;
sokolinn-park;Sokolinn Park;Группа Эталон;бизнес;Богородское;3-я Гражданская ул., вл. 1;
nazare;Назаре;ООО Мангазея;бизнес;Богородское;Открытое ш., 9;
losinoostrovskiy-park;Лосиноостровский парк;ПИК;бизнес;Метрогородок;Открытое ш., 18;
uno-sokolinaya-gora;УНО. Соколиная гора (UNO);ГК Основа;бизнес;Соколиная Гора;8-я ул. Соколиной Горы, вл. 26а;
evopark-izmaylovo;ЭВОПАРК Измайлово (EVOPARK);ГК Основа;бизнес;Перово;Электродная ул.;
plekhanova-11;Плеханова, 11;ПИК;бизнес;Перово;ул. Плеханова, 11;
2-y-irtyshskiy;2-й Иртышский;ПИК;бизнес;Гольяново;2-й Иртышский пр-д;
primavera;Примавера (Primavera);СЗ Стадион Спартак;премиум;Покровское-Стрешнево;квартал Россини, Волоколамское шоссе;
drim-riva;Дрим Рива (Dream Riva);Regions Development;элитный;Нагатинский Затон;Проектируемый проезд № 4062;
soyuz;Союз;Группа Родина;премиум;Ростокино;ул. Сельскохозяйственная;
nachalo;Начало;Донстрой;премиум;Пресненский;ул. Сергея Макеева, 7;
teyt;Тейт (Tate);ГК КОРТРОС;премиум;Марьина Роща;ул. Веткина, вл. 2;
khay-layf;Хай Лайф (High Life);ГК Пионер;премиум;Даниловский;Летниковская ул., 11к1;
krylatskaya-33;Крылатская 33;СЗ Сияние;премиум;Крылатское;ул. Крылатская, з/у 33/1;
kollektsiya-luzhniki;Коллекция Лужники (Luzhniki Collection);Абсолют Премиум;элитный;Хамовники;Новолужнецкий проезд;
rodina-park;Родина Парк;Группа Родина;премиум;Можайский;ул. Толбухина;
dom-56;Дом 56;Галс-Девелопмент;премиум;Басманный;ул. Фридриха Энгельса, 56;
mira;Мира;MR Group;премиум;Алексеевский;проспект Мира;
dom-7-danilovskiy;Дом 7 Даниловский;COLDY;премиум;Даниловский;район метро Тульская;
d-oro-mile;Д'оро Миле (D'oro Mille);Элита-Эко / ГК Имена;элитный;Дорогомилово;1-й Можайский тупик;
dom-dau;Дом Дау;ГК Сумма элементов;премиум;Пресненский;1-й Красногвардейский проезд, Москва-Сити;
masters;Мастерс (Masters);Capital Group;премиум;Хорошёвский;ул. Викторенко, 16;
serebryanyy-bor;Серебряный Бор (квартал);ST Michael;премиум;Хорошёво-Мнёвники;ул. Берзарина, 37;
khaydaut;Хайдаут (Hideout);Dominanta;премиум;Раменки;3-й Сетуньский проезд;
fantom;Фантом (Phantom);Sense Development;элитный;Мещанский;район метро Сухаревская;
river-park-kutuzovskiy;Ривер Парк Кутузовский (River Park Towers);Аеон Девелопмент;премиум;Дорогомилово;первая линия набережной Москвы-реки, метро Фили;
layf-taym;Лайф Тайм (Life Time);Sminex;премиум;Пресненский;ул. Сергея Макеева;
praym-park;Прайм Парк (Prime Park);Optima Development;премиум;Хорошёвский;Ленинградский проспект, вл. 37;
vesper-kutuzovskiy;Веспер Кутузовский (Vesper Кутузовский);Vesper;премиум;Дорогомилово;Кутузовский проспект;
viktori-park-rezidensez;Виктори Парк Резиденсез (Victory Park Residences);ANT Development;премиум;Дорогомилово;район Поклонной горы;
wellton-spa-residence;Wellton Spa Residence;Концерн КРОСТ;премиум;Хорошёво-Мнёвники;ул. Маршала Жукова;
dom-gorizontov;Дом Горизонтов;Touch;премиум;Крылатское;Осенний бульвар;
