school_id;school;in_nota_base;type;tier;building;lat;lon;source;osm_id
osm-562-shkola-1164;Школа № 1164;нет;Другая;;Школа № 1164. Учебный корпус «Менделеев»;55.805989;37.576182;OpenStreetMap, корпус;r8709255
osm-562-shkola-1164;Школа № 1164;нет;Другая;;Школа № 1164;55.797339;37.574322;OpenStreetMap, корпус;r11163001
osm-563-shkola-1239;Школа № 1239;нет;Другая;;Школа № 1239;55.760647;37.588370;OpenStreetMap, корпус;r8801933
osm-564-shkola-810;Школа №810;нет;Другая;;Школа №810;55.724440;37.805559;OpenStreetMap, корпус;w650087440
osm-565-shkola-731;Школа №731;нет;Другая;;Школа №731;55.786967;37.362141;OpenStreetMap, корпус;r9060035
osm-566-shkola-304;Школа №304;нет;Другая;;Школа №304;55.818589;37.633900;OpenStreetMap, корпус;r9070447
osm-567-pirogovskaya-shkola;Пироговская школа;нет;Другая;;Пироговская школа;55.735329;37.611177;OpenStreetMap, корпус;r9072849
osm-568-pushkinskaya-gimnaziya-na-pres;Пушкинская гимназия на Пресне;нет;Другая;;Пушкинская гимназия на Пресне;55.758625;37.570652;OpenStreetMap, корпус;r7103024
osm-569-shkola-110;Школа № 110;нет;Другая;;Школа № 110;55.759288;37.596762;OpenStreetMap, корпус;r9332123
osm-570-shkola-590;Школа №590;нет;Другая;;Школа №590;55.740669;37.495962;OpenStreetMap, корпус;r9453295
osm-571-shkola-1262;Школа № 1262;нет;Другая;;Школа № 1262;55.730568;37.620495;OpenStreetMap, корпус;r7839822
osm-572-litsey-1511;Лицей № 1511;нет;Другая;;Лицей № 1511;55.648617;37.651927;OpenStreetMap, корпус;r9569040
osm-573-moskovskiy-kadetskiy-korpus-po;Московский кадетский корпус полиции;нет;Другая;;Московский кадетский корпус полиции;55.844340;37.544520;OpenStreetMap, корпус;w704357047
osm-574-shkola-36;Школа №36;нет;Другая;;Школа №36;55.721274;37.819910;OpenStreetMap, корпус;r9865165
osm-575-shkola-1502-energiya;"Школа №1502 ""Энергия""";нет;Другая;;"Школа №1502 ""Энергия""";55.791892;37.713259;OpenStreetMap, корпус;w709206068
osm-575-shkola-1502-energiya;"Школа №1502 ""Энергия""";нет;Другая;;"Лицей №1502. Корпус ""Гамма""";55.798173;37.707340;OpenStreetMap, корпус;r11679771
osm-576-tsentr-obrazovaniya-264;Центр образования № 264;нет;Другая;;Центр образования № 264;55.851925;37.615877;OpenStreetMap, корпус;r9865159
osm-577-shkola-959;Школа №959;нет;Другая;;Школа №959;55.860617;37.608772;OpenStreetMap, корпус;w709227304
osm-578-shkola-240;Школа №240;нет;Другая;;Школа №240;55.865569;37.621810;OpenStreetMap, корпус;r9866095
osm-579-tsentr-obrazovaniya-1482;Центр образования №1482;нет;Другая;;Центр образования №1482;55.867255;37.635328;OpenStreetMap, корпус;w709265696
osm-580-chu-sosh-nadezhda;"ЧУ СОШ ""Надежда""";нет;Другая;;"ЧУ СОШ ""Надежда""";55.884295;37.609369;OpenStreetMap, корпус;w709548479
osm-581-pravoslavnyy-tsentr-obrazovani;Православный центр образования Святителя Николая Чудотворца;нет;Другая;;Православный центр образования Святителя Николая Чудотворца;55.578050;37.657395;OpenStreetMap, корпус;w709580247
osm-582-shkola-652;Школа №652;нет;Другая;;Школа №652;55.610738;37.581349;OpenStreetMap, корпус;w711304805
osm-583-shkola-123;Школа №123;нет;Другая;;Школа №123;55.757952;37.602231;OpenStreetMap, корпус;r8178929
osm-584-shkola-58;Школа №58;нет;Другая;;Школа №58;55.794040;37.398778;OpenStreetMap, корпус;w717610539
osm-585-shkola-548-tsaritsyno;Школа № 548 «Царицыно»;нет;Другая;;Школа № 548 «Царицыно». Корпус школьного образования «ЗилАрт»;55.701202;37.638785;OpenStreetMap, корпус;w723104569
