rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note;lat;lon;geo_precision;geo_source
56;Школа № 1589;ГБОУ города Москвы «Школа № 1589»;Городская;школа;39;False;IV степени;ЗАО;Кунцево;Инициативная ул., д. 1;4;21;;53;;;;;;;;;;https://lycc1589.mskobr.ru/;Район по списку ДОНМ — Фили-Давыдково, по официальному адресу — Кунцево.;55.71652;37.46083;дом;OpenStreetMap / Nominatim, 21.09.2026
57;Школа «Новогорск»;;Частная;школа;38;False;;МО;Химки;г. Химки, мкр. Новогорск;;;;;12;;;нет;нет;;;частная школа полного дня;;;;55.89395;37.34720;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
58;Школа № 1158;;Городская;школа;38;False;II степени;ЮАО;Чертаново Северное;;2;;45;;;;;;;;;;;;;55.63436;37.59625;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
59;Школа № 1298 «Профиль Куркино»;;Городская;школа;38;False;II степени;СЗАО;Куркино;;2;;47;;;;;;;;;;;;;55.90040;37.38401;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
60;Школа № 1474;;Городская;школа;38;False;II степени;САО;Ховрино;;2;;46;;;;;;;;;;;;;55.86594;37.50084;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
61;Школа № 1529 имени А.С. Грибоедова;ГБОУ города Москвы «Школа № 1529 имени А.С. Грибоедова»;Городская;школа;38;False;IV степени;ЦАО;Хамовники;2-й Обыденский пер., д. 9;4;23;;59;;;;;;;;;;https://gym1529c.mskobr.ru/;;55.74146;37.60321;дом;OpenStreetMap / Nominatim, 21.09.2026
62;Школа № 1557 им. П.Л. Капицы;;Городская;школа;38;False;II степени;ЗелАО;Савёлки;;2;;44;;;;;;;;;;;;;55.99292;37.21749;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
63;Образовательный центр «Протон»;;Городская;школа;34;False;II степени;ЗАО;Филёвский Парк;;2;;;;;;;;;;;;;;;55.73948;37.50195;объект (отделение школы в OSM);OpenStreetMap / Nominatim, 21.09.2026
64;Школа «Классика-М»;;Частная;школа;34;False;;МО;Мытищи;г. Мытищи;;;;;15;;;нет;нет;;;;;;;55.91201;37.73669;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
65;Школа «Марьина Роща» им. В.Ф. Орлова;;Городская;школа;34;False;II степени;СВАО;Марьина роща;;2;;;;;;;;;;;;;;;55.78912;37.61601;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
66;Школа № 1002;;Городская;школа;34;False;II степени;ЗАО;Солнцево;;2;;;;;;;;;;;;;;;55.64911;37.39881;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
67;Школа № 1194 им. Т.О. Расторгуева;;Городская;школа;34;False;II степени;ЗелАО;Крюково;;2;;;;;;;;;;;;;;;55.98010;37.15349;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
68;Школа № 1252 им. Сервантеса;;Городская;школа;34;False;II степени;САО;Сокол;;2;;;;;;;;;;;;;;;55.81021;37.49634;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
69;Школа № 1290;;Городская;школа;34;False;II степени;ВАО;Измайлово;;2;;;;;;;;;;;;;;;55.79399;37.79319;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
70;Школа № 1357 «На Братиславской»;;Городская;школа;34;False;II степени;ЮВАО;Марьино;;2;;;;;;;;;;;;;;;55.65055;37.76250;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
71;Школа № 1392 им. Д.В. Рябинкина;;Городская;школа;34;False;II степени;ТАО;Троицк;;2;;;;;;;;;;;;;;;55.51125;37.34836;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
72;Школа № 1504;;Городская;школа;34;False;II степени;ВАО;Ивановское;;2;;;;;;;;;;;;;;;55.76285;37.83823;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
73;Школа № 152;;Городская;школа;34;False;II степени;САО;Аэропорт;;2;;;;;;;;;;;;;;;55.80310;37.53096;объект (отделение школы в OSM);OpenStreetMap / Nominatim, 21.09.2026
74;Школа № 1538;;Городская;школа;34;False;II степени;СЗАО;Митино;;2;;;;;;;;;;;;;;;55.84119;37.37514;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
75;Школа № 1542;;Городская;школа;34;False;II степени;ЗАО;Солнцево;;2;;;;;;;;;;;;;;;55.64680;37.39935;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
76;Школа № 1558 им. Росалии де Кастро;;Городская;школа;34;False;II степени;СВАО;Бабушкинский;;2;;;;;;;;;;;;;;;55.86859;37.65332;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
77;Школа № 1571;;Городская;школа;34;False;II степени;СЗАО;Северное Тушино;;2;;;;;;;;;;;;;;;55.85675;37.44407;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
78;Школа № 1576;;Городская;школа;34;False;II степени;САО;Коптево;;2;;;;;;;;;;;;;;;55.84169;37.54186;объект (школа в OSM);OpenStreetMap / Nominatim, 21.09.2026
79;Школа № 1748 «Вертикаль»;;Городская;школа;34;False;II степени;ВАО;Северное Измайлово;;2;;;;;;;;;;;;;;;55.81986;37.86386;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
80;Школа № 1811 «Восточное Измайлово»;;Городская;школа;34;False;II степени;ВАО;Восточное Измайлово;;2;;;;;;;;;;;;;;;55.79174;37.81267;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
81;Школа № 1980;;Городская;школа;34;False;II степени;ЮЗАО;Южное Бутово;;2;;;;;;;;;;;;;;;55.53457;37.53278;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
82;Школа № 2026;;Городская;школа;34;False;II степени;ВАО;Косино-Ухтомский;;2;;;;;;;;;;;;;;;55.71782;37.88405;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
83;Школа № 2048;;Городская;школа;34;False;II степени;ЮВАО;Некрасовка;;2;;;;;;;;;;;;;;;;;не найдено;
84;Школа № 2083;;Городская;школа;34;False;II степени;НАО;Щербинка;;2;;;;;;;;;;;;;;;55.49304;37.50245;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
85;Школа № 2089;;Городская;школа;34;False;II степени;ЮВАО;Некрасовка;;2;;;;;;;;;;;;;;;55.68441;37.91831;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
86;Школа № 2094;;Городская;школа;34;False;II степени;НАО;Коммунарка;;2;;;;;;;;;;;;;;;55.60434;37.41850;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
87;Школа № 2098 им. Л.М. Доватора;;Городская;школа;34;False;II степени;САО;Западное Дегунино;;2;;;;;;;;;;;;;;;55.87881;37.51043;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
88;Школа № 2109;;Городская;школа;34;False;II степени;НАО;Щербинка;;2;;;;;;;;;;;;;;;55.50199;37.59319;здание школы по номеру (OSM) — сверить;OpenStreetMap / Nominatim, 21.09.2026
