school;school_id;type;tier;nota_index;okrug;district;buildings;zhk_10;zhk_15;zhk_20;zhk_30;zhk_list_20
Школа № 1270 «Вектор»;shkola-1270-vektor;Городская;;3;;;2;0;0;1;14;Костомаровский, 15 — 15 мин
Школа № 1384;shkola-1384;Городская;;3;;;3;1;1;3;7;"Мастерс (Masters) — 5 мин; INDY Towers — 16 мин; СОУЛ (SOUL) — 18 мин"
Школа № 2054;shkola-2054;Городская;;3;;;2;1;7;9;23;"Форум (Forum) — 5 мин; Кузнецкий Мост 12 — 11 мин; Камергер — 11 мин; Рождественка 8 — 11 мин; Малая Дмитровка 5/9 — 12 мин; Turgenev (Клубный дом Тургенев) — 14 мин; Фантом (Phantom) — 14 мин; Энигмия — 17 мин; Палашёвский 11 — 17 мин"
Лицей РАНХиГС;litsey-ranhigs;Городская;;1;;;2;3;4;7;25;"Annabel's (1913) — 4 мин; Хилков — 8 мин; Обыденский №1 — 10 мин; Лё Дом (Le Dome) — 10 мин; Красный Октябрь — 16 мин; Льва Толстого 14 — 18 мин; Левшинский 19 (Your MAJESTY) — 19 мин"
Международная школа завтрашнего дня;mezhdunarodnaya-shkola-zavtrashnego-dnya;Городская;;1;;;1;0;0;0;0;
Новая гуманитарная школа;novaya-gumanitarnaya-shkola;Городская;;1;;;1;0;2;3;6;"Дом на Часовой (DD:OO:MM) — 11 мин; DIUS (Диус) — 11 мин; Муза (MUSE) — 15 мин"
Первая школа;pervaya-shkola;Городская;;1;;;1;0;0;0;0;
Школа № 1095;shkola-1095;Городская;;1;;;3;0;0;0;0;
Школа № 1404 «Гамма»;shkola-1404-gamma;Городская;;1;;;2;0;0;0;2;
Школа № 1412;shkola-1412;Городская;;1;;;2;0;0;0;0;
Школа № 319;shkola-319;Городская;;1;;;4;1;1;1;1;2-й Иртышский — 9 мин
Школа № 384;shkola-384;Городская;;1;;;2;0;0;1;2;Стеллар Сити — 18 мин
Спортивный интернат «Чертаново»;sportivnyy-internat-chertanovo;Спортивная;;0;ЮАО;Чертаново Центральное;2;0;0;0;0;
ЦОиС «Москва-98»;tsois-moskva-98;Спортивная;;0;ЗАО;Проспект Вернадского;3;1;2;3;5;"Инноватор — 7 мин; Stories на Мосфильмовской — 11 мин; Событие — 17 мин"
ЦСиО «МЭШ» (Московская экспериментальная школа);tssio-mesh-moskovskaya-eksperimentalnaya-shkola;Спортивная;;0;ЮЗАО;Зюзино;1;0;0;1;1;Наметкин Тауэр — 18 мин
ЦСиО «Самбо-70»;tssio-sambo-70;Спортивная;;0;ЮЗАО;Коньково;1;0;0;0;0;
Центр образования и спорта «Локомотив»;tsentr-obrazovaniya-i-sporta-lokomotiv;Спортивная;;0;ВАО;Богородское;2;0;0;0;2;
Школа «Наследник»;shkola-naslednik;Частная;;0;Москва;—;1;0;0;0;0;
Школа № 1577;shkola-1577;Городская;;0;СВАО;Ярославский;2;0;0;0;0;
